tick,time
2,25.1113
3,11.064
4,5.4445
5,5.1052
6,2.1566
7,3.5685
8,5.5306
9,10.9381
10,6.4802
11,8.3429
12,5.0589
13,3.6826
14,10.9306
15,3.7729
16,2.1692
17,1.8582
18,3.4097
19,7.2795
20,10.4586
21,2.798
22,0.0416
23,0.0439
24,0
25,0.0408
26,0.0696
27,0.0592
28,0.1464
29,0.0513
30,1.608
31,0.1061
32,0.0399
33,4.6823
34,0.0917
35,1.3187
36,0.0517
37,0.0487
38,4.0545
39,0.8037
40,0.0584
41,0.9514
42,0.0478
43,0.0507
44,0
45,0.0494
46,0.0773
47,0.0592
48,0.1326
49,0.054
50,0.0454
51,0.1222
52,0.3845
53,0.1029
54,0.0999
55,0.0588
56,2.0151
57,0.5681
58,3.5963
59,0.1383
60,0.0551
61,0.0375
62,0.0423
63,0.5256
64,0
65,0.2337
66,0.0688
67,0.8915
68,0.1242
69,0.0399
70,0.0351
71,0.7577
72,0.0338
73,3.2073
74,1.1551
75,0.0289
76,1.4512
77,0.0367
78,0.6366
79,0.0347
80,0.8341
81,0.5775
82,1.5159
83,0.0345
84,0.7946
85,0.0399
86,1.0244
87,0.9955
88,0.1132
89,0.0424
90,0.0331
91,0.7344
92,1.2075
93,0.0681
94,1.1536
95,0.0404
96,0.9542
97,0.044
98,0.0314
99,2.6886
100,0.0494
101,0.0427
102,0.0401
103,0.037
104,0.6373
105,0.0332
106,1.7168
107,0.042
108,0.1223
109,0.4411
110,0.0343
111,0.727
112,0.6237
113,1.5458
114,0.0983
115,6.3233
116,0.0446
117,0.4913
118,0.0332
119,0.0328
120,0.4526
121,0.5033
122,0.0401
123,0.0355
124,3.5998
125,0.7073
126,6.6258
127,0.041
128,4.4888
129,1.4578
130,6.6576
131,2.3283
132,1.2456
133,0.9852
134,1.3297
135,0.0445
136,0.4613
137,0.7506
138,3.0616
139,0.729
140,0.7301
141,1.3319
142,0.0402
143,0.0518
144,0.3012
145,1.9067
146,3.6239
147,0.0448
148,0.491
149,1.1744
150,1.8018
151,0.1138
152,1.8985
153,0.3159
154,0.0876
155,1.3751
156,0.6135
157,0.0406
158,0.4319
159,0.0321
160,0.0471
161,0.0324
162,2.8399
163,0.0414
164,0
165,0.0362
166,4.9511
167,3.0079
168,0.853
169,0.7682
170,0.0337
171,0.1026
172,0.0334
173,0.0497
174,0.0798
175,0.0388
176,0.6766
177,0.042
178,0.0337
179,0.0329
180,0.0439
181,0.0258
182,1.891
183,0.0371
184,0
185,0.5233
186,1.4674
187,0.635
188,1.6109
189,0.1834
190,0.9242
191,0.1001
192,3.6249
193,0.0499
194,0.0807
195,4.9701
196,0.4041
197,2.5888
198,1.3666
199,1.0014
200,0.0427
201,3.8502
202,5.2916
203,0.8582
204,2.3045
205,0.037
206,1.8186
207,2.416
208,0.1089
209,0.182
210,0.3635
211,0.8484
212,5.7493
213,0.4502
214,0.0858
215,0.0425
216,0.7583
217,1.7696
218,0.9829
219,0.0317
220,0.5817
221,1.4765
222,1.0898
223,0.0377
224,0.7954
225,0.0344
226,0.0655
227,0.7722
228,1.4187
229,0.5033
230,0.537
231,0.6489
232,2.5133
233,0.2882
234,5.5132
235,0.0433
236,0.8513
237,2.0558
238,0.0363
239,0.0359
240,0.0531
241,0.0348
242,0.0412
243,0.0405
244,0.1202
245,0.0369
246,1.4828
247,0.943
248,0.7442
249,0.0517
250,2.0474
251,0.2947
252,0.9089
253,2.1803
254,0.2441
255,0.6189
256,0.6754
257,0.0477
258,1.8605
259,0.036
260,0.0564
261,0.0384
262,0.0421
263,2.1594
264,1.5236
265,3.7583
266,0.4861
267,0.0447
268,2.0557
269,0.049
270,1.02
271,0.125
272,0.305
273,0.7332
274,0.0901
275,0.6078
276,0.0551
277,0.2231
278,0.6925
279,0.3505
280,0.2191
281,0.5174
282,0.9416
283,0.0399
284,0.6959
285,0.0385
286,0.5292
287,0.6659
288,0.1197
289,0.2942
290,0.0385
291,0.7335
292,0.8302
293,0.2402
294,0.0865
295,0.0412
296,0.0498
297,0.0399
298,1.2069
299,0.0345
300,0.0464
301,1.1137
302,0.0501
303,3.0814
304,0
305,0.0379
306,0.0596
307,0.0443
308,0.1141
309,0.0362
310,1.9216
311,0.7056
312,0.7102
313,5.9829
314,1.0164
315,0.0394
316,0.6863
317,3.7915
318,0.0342
319,0.1619
320,2.3114
321,3.333
322,0.0373
323,0.8498
324,0.3183
325,0.4624
326,0.0586
327,0.0416
328,0.4202
329,0.7737
330,0.4852
331,0.1098
332,0.6047
333,0.0523
334,0.0837
335,0.1587
336,1.1442
337,0.1623
338,1.1504
339,1.7496
340,0.6721
341,0.0352
342,0.9402
343,0.0459
344,3.6953
345,0.3402
346,0.7511
347,0.0426
348,0.112
349,0.0423
350,0.3486
351,1.438
352,0.0363
353,0.0511
354,0.0845
355,0.0394
356,0.0484
357,0.1393
358,1.7164
359,5.6776
360,0.0456
361,0.7796
362,2.9788
363,0.6887
364,0.1849
365,0.0367
366,0.1857
367,1.0196
368,0.1151
369,1.3596
370,1.3952
371,0.3409
372,0.0317
373,0.0579
374,0.5911
375,0.046
376,0.8291
377,1.1879
378,0.0374
379,1.9336
380,2.3554
381,1.039
382,4.6923
383,0.7573
384,0.0039
385,0.7385
386,0.0591
387,0.6252
388,6.7563
389,0.6043
390,0.3057
391,7.0678
392,0.2606
393,0.1737
394,0.8215
395,0.0466
396,0.06
397,1.0623
398,0.0369
399,0.0342
400,1.371
401,0.0402
402,0.0523
403,0.0453
404,0.0047
405,0.6374
406,0.3599
407,0.0523
408,0.1166
409,0.3414
410,4.1776
411,0.1217
412,0.3121
413,3.8317
414,0.0967
415,0.0457
416,0.0545
417,0.0437
418,4.0526
419,0.2264
420,0.0572
421,4.6415
422,4.2438
423,0.5757
424,1.1337
425,0.0381
426,0.6677
427,2.4239
428,1.763
429,1.7499
430,3.1814
431,4.3873
432,0.0362
433,0.0516
434,0.0778
435,0.038
436,0.0549
437,0.0457
438,0.3754
439,1.7408
440,6.4865
441,0.0387
442,0.689
443,0.0424
444,0.0036
445,0.2342
446,0.0596
447,0.518
448,0.9678
449,0.7692
450,0.0387
451,1.3251
452,0.1307
453,0.8355
454,3.7897
455,0.4259
456,0.0408
457,0.044
458,4.3425
459,1.0015
460,0.6244
461,0.9159
462,0.4015
463,0.7647
464,0
465,0.0417
466,1.7081
467,0.047
468,0.1183
469,0.1483
470,0.0356
471,2.1016
472,0.5912
473,0.2063
474,0.8004
475,0.3182
476,1.9572
477,0.0469
478,2.9482
479,0.0344
480,1.1617
481,0.0343
482,0.1521
483,0.0372
484,0
485,0.7016
486,0.624
487,0.0467
488,1.0557
489,1.7995
490,1.9274
491,0.1083
492,0.0328
493,2.5296
494,0.7822
495,0.7604
496,4.9706
497,3.5225
498,0.2466
499,0.0332
500,0.3918
501,2.9923
502,6.3599
503,0.0411
504,0.0041
505,1.1821
506,0.063
507,0.6724
508,2.1089
509,0.5378
510,1.9089
511,4.3319
512,0.6734
513,5.5924
514,2.428
515,0.0474
516,0.0584
517,0.6961
518,0.8767
519,0.035
520,0.0514
521,0.7574
522,1.8234
523,0.9356
524,6.7198
525,2.7768
526,0.8896
527,1.7761
528,0.2175
529,0.044
530,0.0349
531,0.1095
532,0.0327
533,0.6933
534,0.0841
535,1.1498
536,0.0494
537,0.0437
538,0.0361
539,0.3863
540,0.0532
541,0.0344
542,1.6456
543,0.041
544,3.0416
545,0.035
546,0.5429
547,0.0454
548,0.3398
549,0.0488
550,0.9522
551,0.5985
552,3.1709
553,1.4605
554,2.1755
555,0.2255
556,0.0499
557,0.0408
558,0.034
559,4.4759
560,0.0537
561,0.6401
562,2.6508
563,4.0853
564,0.4571
565,1.4173
566,3.3623
567,0.0477
568,6.0947
569,0.0442
570,0.0268
571,0.1075
572,2.5008
573,1.771
574,0.0887
575,0.4094
576,3.0245
577,0.0423
578,0.0379
579,0.0334
580,0.0511
581,1.5503
582,4.5514
583,8.981
584,0
585,5.9314
586,0.0608
587,0.0447
588,0.1222
589,2.3128
590,0.2199
591,1.0969
592,0.1962
593,0.0589
594,3.4103
595,0.0422
596,2.6434
597,2.1364
598,0.034
599,0.3811
600,0.1696
601,2.6923
602,3.1342
603,0.1966
604,0
605,5.7585
606,2.9536
607,0.9661
608,0.804
609,1.2172
610,0.8275
611,1.0966
612,0.0301
613,0.0552
614,0.0905
615,0.0417
616,3.7417
617,0.8541
618,0.1868
619,1.3533
620,0.7073
621,1.4869
622,0.0422
623,0.8865
624,0
625,0.8976
626,0.0556
627,0.0425
628,0.7832
629,1.0916
630,0.0325
631,0.5688
632,0.8322
633,0.0572
634,1.5015
635,0.0403
636,0.9703
637,0.6273
638,0.0329
639,1.9084
640,1.409
641,2.3348
642,0.0403
643,0.6244
644,0.0074
645,2.7226
646,1.9722
647,2.0492
648,0.1213
649,0.1628
650,0.2189
651,0.1152
652,4.0185
653,0.06
654,2.8026
655,0.2461
656,0.7617
657,0.0432
658,2.941
659,1.5861
660,4.0864
661,2.7564
662,0.474
663,5.2948
664,1.5269
