tick,time
1,0
2,546.2378
3,431.7882
4,602.0752
5,422.8801
6,434.3266
7,400.7884
8,289.6947
9,446.2213
10,642.8818
11,335.3844
12,459.9111
13,355.6477
14,392.5016
15,252.3003
16,222.3361
17,231.711
18,238.9278
19,237.0743
20,147.1181
21,139.3398
22,0.0485
23,0.0609
24,0
25,0.0445
26,0.0504
27,0.0532
28,0.0567
29,0.045
30,0
31,0.0559
32,0
33,0.0415
34,0.0442
35,0.0437
36,0.0525
37,0
38,0.0422
39,0.0526
40,0.0515
41,0
42,0.0653
43,0.0599
44,0
45,0.0448
46,0.0618
47,0.056
48,0.0596
49,0.0497
50,0
51,0.1147
52,0
53,0.078
54,0.0499
55,0.0518
56,0.069
57,0
58,0.0447
59,0.0549
60,0.0533
61,0
62,0.0669
63,0.0568
64,0
65,0.0431
66,0.0474
67,0.052
68,0.0404
69,0.012
70,0
71,0.0151
72,0.0468
73,0.0442
74,0.0135
75,0.0121
76,0.0155
77,0
78,0.0122
79,0.0161
80,0.0189
81,0
82,0.0142
83,0.0155
84,0
85,0.0173
86,0.0149
87,0.0143
88,0.0143
89,0.0119
90,0
91,0.0149
92,0
93,0.0115
94,0.0129
95,0.0143
96,0.014
97,0
98,0.0173
99,0.0151
100,0.0166
101,0.0485
102,0.0136
103,0.0173
104,0
105,0.0132
106,0.0154
107,0.0425
108,0.0142
109,0.0124
110,0
111,0.0142
112,0
113,0.0123
114,0.0119
115,0.0175
116,0.0154
117,0
118,0.0123
119,0.015
120,0.0159
121,0
122,0.0131
123,0.0654
124,0
125,0.012
126,0.0154
127,0.0146
128,0.0153
129,0.0128
130,0
131,0.0141
132,0
133,49.9898
134,0.0119
135,0.0124
136,0.0147
137,0
138,0.0118
139,0.0146
140,0.0432
141,0
142,0.4796
143,0.0154
144,69.0943
145,0.0149
146,0.017
147,0.0172
148,27.6327
149,0.0138
150,0.0044
151,0.0178
152,0.0042
153,0.0118
154,66.2533
155,0.0148
156,101.938
157,0.008
158,0.0166
159,0.0195
160,0.019
161,0.0055
162,0.0165
163,0.0213
164,0.006
165,0.0141
166,0.0172
167,0.0157
168,0.0162
169,0.0412
170,0.0046
171,0.016
172,0.0043
173,0.0139
174,0.0153
175,0.013
176,0.0145
177,0
178,0.011
179,0.0156
180,0.0145
181,0
182,0.0202
183,0.0301
184,0
185,0.0126
186,0.0138
187,0.0145
188,0.0145
189,0.0508
190,0
191,0.013
192,0
193,0.0191
194,0.0118
195,0.0115
196,0.0427
197,20.2843
198,0.0157
199,0.0169
200,0.0169
201,0.0038
202,0.0156
203,0.0301
204,0.0044
205,0.0176
206,0.0179
207,0.0169
208,0.0159
209,72.475
210,0.004
211,0.0165
212,0.0039
213,0.0134
214,0.0134
215,0.0623
216,0.4736
217,0.0043
218,0.013
219,6.9217
220,6.9159
221,6.753
222,0.0223
223,0.0222
224,0.0068
225,0.0176
226,0.0177
227,0.019
